Product_name,rating,summary,review,location,date,upvotes,downvotes,sentiment
realme Buds Wireless Bluetooth Headset,5,Fabulous!,I will tell you some hidden features that you might have not heard and will summarize my review as follows first:👉Sound quality is 4/5👉Build and quality 5/5👉Features 5/5👉Looks 5/5👉 Battery 6/5 yes its 6/5👌👉Overall price to product 5/5👈👌If your Budget allows you can buy them they are really greatNOW SOME HIDDEN Features not actually hidden but yah that many you have not heardRead the full para for correct infoThe major con you hear is that it doesn't have ⚡off button ⚡But...,Naraura,"Mar, 2020",7611,435,positive
realme Buds Wireless Bluetooth Headset,4,Good quality product,"PROS: best in budget, with a good bass most loved thing is 🔋 backup. 1hour charge gives minimum 10 ✌️🎧 enjoymentMagnetic attaching helps more to improve battery life more😍CONS:  (1)sec ..delay in sounds in pubg😑 the only disappointment in these, I bought this for pubg streaming but they bit late in sounds  I don't recommend these for pubg player and for gaming it's not worth  writing this after 1week  hope u find these a useful review 😘",Chilakaluripet,"Dec, 2019",2254,326,negative
realme Buds Wireless Bluetooth Headset,5,Terrific purchase,nice very beautiful Realme buds Very good soundbass quality very nice battery backup good,Kolkata,"Dec, 2019",852,155,positive
realme Buds Wireless Bluetooth Headset,5,Simply awesome,"in love with thisthe auto turn off when magnet sticks is very handy and saves batteryaudio quality good...balances between the highs and the lows good mids alsoi have used skullcandy inkd as well as boat rockerz 225as a comparison, skullcandy handles every frequencies without any distortion, gives a great quality and feel to the audioboat adds bass to the normal audio which makes it distorted at large volumes and long usage timescoming to realme, it is far beyond boat in terms of audio...",Thiruvananthapuram,"Nov, 2019",1389,290,positive
realme Buds Wireless Bluetooth Headset,4,Good quality product,"Everything is Good Only Bass is Little bit Less as compare to Boat Rockerz 255But Except Bass Overall Is Awesome And the most amazing Function is Auto connect, when separate ear buds from each other it's connect automatically with previousaly connected device within 2-3 secon. Battery backup is also good as They commit. 10-12 Hr And. fast Charging. The  most Attractive Design which looks Too good with premium Material and Comfortable Ear Buds. Go for it.",Greater Noida,"Jan, 2020",150,26,positive
realme Buds Wireless Bluetooth Headset,5,Excellent,I am writing this review after using this product for 3 weeks and I am very happy with this product I am giving it five star ???? ? ? I must say it is a very nice product and you can buy this product blindfold it is a very great battery backup and the song quality is very very nice and it is light and easy to use,New Delhi,"Jan, 2020",197,39,negative
realme Buds Wireless Bluetooth Headset,5,Super!,"These earbuds are the best you could buy. good build quality, excellent sound and bass. Mic works excellent even while riding a bike. Audio is clear and the battery last long too. Idk exact hours.Realme, you've outdone it😍",Bengaluru,"Dec, 2019",114,24,negative
realme Buds Wireless Bluetooth Headset,4,Delightful,"After using Portronics Harmonics 208 and many research I found a good wireless headset( Realme Buds ).One of my friends using boat225, all god but disappointed with voice clarity and built quality.RealmeProsMagnetic standby, awesome feature saves battery.Google assistant.Sound & Built quality is good.Soft buttons.Fits good and perfect in shape.Voice cancellation while speaking is excellent.Wire size is good not too long, not too short.ConsWhile not speaking other person can hea...",Khandwa,"Feb, 2020",106,31,negative
realme Buds Wireless Bluetooth Headset,5,Worth every penny,"This is my genuine review after the use of 7 days ki The perfect wireless headphone in this range infact more than perfect .There are no cons in this earphoneSome highlighted pros due to which , daily & daily u will fall in love with it & always think urSELF Fortunate  are:A+ battery lifeA+Sound qualityMagnetic function is super 😘",Kulti,"Dec, 2019",114,46,positive
realme Buds Wireless Bluetooth Headset,1,Did not meet expectations,"I'm a music producer and I find this earphones good but it's not worth the price, you can choose one plus instead or infinity by jbl for crystal clear sound quality, real me buds is loud cause of the driver (11.2) but it's not clear and you'll get a head ache after using it for a while , they say it has good bass but it doesn't , if you want good bass and clear sound of each and every instrument, go for one plus, jbl , infinity, skull candy or sony. Don't but real me buds",Bengaluru,9 months ago,172,293,positive
realme Buds Wireless Bluetooth Headset,5,Fabulous!,Amazing,,Today,0,0,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific purchase,"first of all with mi 18 watt charger,it got full charged in 20mins.that was amazing and 16-18hrs playtime is best at this price range.I searched for a wireless earphone and bought many but finally settled with this.sound quality is good but build quality is premium.overall i would say it is the best earphone to go with and I guarantee you will not regret.drop like if you find it useful.",Kolkata,9 months ago,1339,160,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Fabulous!,"I am using this product from 2 daysLet me share with you my experienceThis is my genuine and humble review 1st the delivery of flipkart is too good and then awesome packingThen comming to productThe experience of sound is really great we catch every instrumental sounds clearly and be joyful while listening and my rating is 4/5And then about bass, actually I expected too about bass boost but it not reached then that just good actually but I satisfied with that and my rating is 3/5Then ...",Nalgonda District,9 months ago,520,65,negative
OnePlus Bullets Wireless Z Bluetooth Headset,5,Worth every penny,LONG BUT WORTH READING.Honest review after one week. Just go for it. Dont get affected by negative reviews. Totally worth every penny and far ahead of its competition. The battery backup is splendid. Sound quality is very good nothing to complain here. Comfortable in the ears. Connectivity perfect. I haven't experienced any lag with normal media usage. I am a student and watch video lectures at sometimes 2x speed and never once I faced voice lag while changing video speed. Just go for it. Ju...,Arrah,9 months ago,1383,200,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,writing review after using it for two days ..first of all its having best battery backup among other wireless headphones.only drained 20% battery aftr usage of some 8hrs.. build quality is above the mark.. bass wise its lil low.. bt its ok .. go for it .. it wont disappoint you .. a great thumbs-up for flipkart delivery teams👍🏻👍🏻,Kollam District,10 months ago,146,21,negative
OnePlus Bullets Wireless Z Bluetooth Headset,5,Simply awesome,The bass provided is a decent one and the sound clarity is pretty good.And all the other features are exceptional.U can surely go for this one for the price range..will not regeret.,Ernakulam District,10 months ago,941,186,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Simply awesome,"ONEPLUS THE BEST 🌟Crystal clear sound .Treble & Bass are well balanced.Bass is developed compared to OP Bullets 2 .Massive Battery Backup within 10-15minutes of charging.Built Quality is too good which gives premium feel .Magnetic On/Off will be very much useful .Finally , OnePlus gave us the best affordable wireless earphones 🌟 🌟 🌟 🌟 🌟",Visakhapatnam,10 months ago,112,17,positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Nice product,"Thanks to flipkart fot super fast delivery in our rural area.Got it within 3 days.Super earphones using it for online pg classes,comes with handy backup hrs.5/5 for sound quality4/5 for bass(not as high,for competitor like sony310,or realme wireless)5/5 for build qualityWill rewrite a review after a month use",Rajnandgaon,10 months ago,192,36,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Highly recommended,"😇No more tangles n dangling!! Loved it! Sweetest thing about this is, we can do our works FREELY or even go washroom with music on us..🤣 I would say, Go for it👉 feel that energy!Well packed, class look And of course, the sound quality is GreAttt!!🤩 (I admit I'm a bit excited)And thanks to Flipkart for a quick n safe delivery 🤗",Ernakulam District,10 months ago,789,183,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,"Looking nice product...I got just 1day delivery..11th I ordered...12th I received...in this price range this product is no1..I got blue...i gift to dear one.. must buy.. don't go other products on this price range is this best....next level headset...no other gives this much battery life 20hrs...mind blowing OnePlus bullet z.. presently I'm using realme wireless buds, both are best in this segment but OnePlus is more battery life n extra multiple device connectivity button n latest design...",Tumkur,10 months ago,896,223,positive
realme Buds 2 Wired Headset,5,Highly recommended,Nice head set good fit nice quality good to handily poli aytem anu magnet pora kolllam migacha aytem,Chengannur,9 months ago,924,145,positive
realme Buds 2 Wired Headset,5,Terrific purchase,The build quality is really good and the design also looks great. The magnets of earbuds are also really useful. The best part is the cable organizer which is really useful. The bass is good and the sound quality is also good you will not be disappointed buying this product at this price. The call quality is also good and the placement of buttons is very functional and useful. Buy without any doubt.,Koregaon,9 months ago,233,37,positive
realme Buds 2 Wired Headset,5,Classy product,"outstanding product  best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌",Sangli District,"Jan, 2020",157,22,positive
realme Buds 2 Wired Headset,5,Terrific,"woww fantastic experience 😍 👍 and mainly discuss about this earphones is built quality is awesome 👌👍im fully satisfied with this earphones 👌👌👍   prons 1. built quality is awesome2. sound quality is just super 3. bass , treble,mid ranges are just good4. long and comfortable cable cons 1. missed L shape jackfinally my overall rating is 9.6 /10",Kondapalli,"Jan, 2020",232,55,positive
realme Buds 2 Wired Headset,5,Terrific,Unbelievable bass And very clear audio ear protection very strong I really prefer to purchase this fantastic realme buds thank you very much realme,Fatahnagar,"Mar, 2020",107,22,positive
realme Buds 2 Wired Headset,5,Excellent,nice earphones with smooth sound. even the build quality is best . this earphone is better for bass lover . and also  for smooth playback,Mumbai,"Jan, 2020",293,75,positive
realme Buds 2 Wired Headset,5,Simply awesome,What a immersive experience on the headphones...when i listen music on them it feels like i'm sitting in any live show... best sound quality i've ever experienced on this price range.  superb realme it wroth the price.. Its looks are also cool to see with yellow lines. The button of the remote are tactile and easy to use and differentiate. The sound goes to extreme volume no trouble after long hours of use.,Rewa,"Nov, 2019",101,21,positive
realme Buds 2 Wired Headset,5,Brilliant,"It's a interesting product so I'm writing this after 24 hours of burn out.. so stay tuned to know the full story.. eartips are silicone tips very comfortable but doesn't stay in my ear much well, but your mileage may vary.. build is great but after receiving my item I noticed scuffs and nylons coming off a little from the part near 3.5 mm port.. otherwise it's built really well.. speakers for calls is tremendous easily putting mi basics to shame.. it's great for people like me who talks a lot...",Bankura,"Feb, 2020",291,77,positive
realme Buds 2 Wired Headset,5,Simply awesome,"Best in the market 😍😍😍. Enjoying its feel the real bass 😌😌. Good qualities of wire, comfortable to wear, and great sound quality 🥰🥰 . Value for money 🤑🤑.",Matla,"Nov, 2019",181,45,positive
realme Buds 2 Wired Headset,5,Brilliant,"Nice product , nice quality , great buss, I love it",Ranaghat,9 months ago,100,26,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Super!,Very nice product with amazing battery back up and deep bass.. Awsome sound clarity.it is very flexible  Length of wire is little low.,Kottayam District,1 month ago,302,65,negative
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Really Nice,This review i was posted after 1 week using this 1+ bass editions neckband. It's sound quality is awesome bass effect also awesom then call audio quality also super when i receive this project it was 100% changed i was used more then 4 days in this neckband using audio and video player per day i am used 3 hrs approximately after 4 days i god 40% of remaining charger. i changed this  neckband with in 10 minutes its fully charged. its worth for money.,Mahindra World City,2 months ago,462,126,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Brilliant,"I've been using this product for the last 3 days. This might be too early to write an elaborate review but I've known enough about this neckband to be ""eligible"".1. Sound Quality: The drivers definitely produce a very balanced sound that is surely going to satisfy most of the people including me. Whether it's about mid frequencies, vocals or the high frequency trebles, or even the lower frequencies, this neckband deals all of those with superior performance. Undoubtedly.2. Bass: Bass is...",Chandannagar,19 days ago,30,2,negative
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Awesome,"Excellent quality.. Packing is awesome.. Neckband quality is impressive its very Soft rubber, light weight.. Sound quality is very nice.. And bass is impressive.. Backup is approx 14 to 15 hours easily  in medium volume.. Very fast Bluetooth connectivity and switching.. Type c charging cable.. I think it is best in this Price range.",Pilibhit District,1 month ago,12,1,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Must buy!,This review i was posted after 1 week using this 1+ bass editions neckband. It's sound quality is awesome bass effect also awesome then call audio quality also super when i receive this project it was 100% changed i was used more then 4 days in this neckband using audio and video player per day i am used 3 hrs approximately after 4 days i got 40% of remaining charger. i changed this neckband with in 10 minutes its fully charged. its worth for money.,Haldia,1 month ago,76,38,negative
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Best in the market!,Quality is very goodAndSound and bass is also very good But battery is not good Battery backup is not 17hours Battery backup only 10 hours on full volumeAnd this earphone is very good on all condition But battery is not on markAnd 10 to 12 it charge 70 to 80 and playback time upto 8 hoursAnd it completely charge in 20 to 30 minutes But no warning for low batteryI check two time i can not seen low battery warningOverall great product in this price,Jaipur,1 month ago,19,5,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Value-for-money,"1. Call quality is Good. I have tested the call infront of high volume TV. The call was pretty good and didn't hear much noise if TV music. 4.5/52. Music is good. Bass is not as expected. But if you adjust the Equalizer, the Music is good. 4/5.3. Comfort is Pretty good. 5/5.4. Battery is also really good. 5/5.",Chitradurga,2 months ago,29,7,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,1,Terrible product,If you are bass lover don't dare to buy this. Bass is really very bad. I have used Sony earphones and they offer pretty good bass than it. I bought this due to hype but in actuality it's not even close to my expectations. Whenever i listen to music it makes me  🤬,Kotputli,2 months ago,94,211,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Fabulous!,It was a fantastic experience using this earpiece its just awesome and i loved it like anything it has all the features qnd a definitely good base with good sound quality..i was bit unhappy with its clarity else i was really impressed by its working,Bikramganj,1 month ago,11,0,positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Good choice,"The sound quality is really good and it's worth every penny. But the unit I received had some manufacturing defect so after around 3 months of use, the volume in the left side kept decreasing for a week and then completely stopped. Thanks to the one year warranty I took it to the service centre for replacement. And they said I'll get the new one in 7 to 10 days! That's a long time for a music lover to stay without earphones... I also checked the OnePlus website and there were a lot of people ...",Gorakhpur,1 month ago,15,3,positive
realme Buds Q Bluetooth Headset,4,Value-for-money,"Amazing Product, bass is amazing and easy to carry , Also you like the insulation of product , battery backup is very good. Satisfied With Product",Banas Kantha District,2 months ago,182,41,positive
realme Buds Q Bluetooth Headset,5,Perfect product!,Worth it If you think to buy a tws then it is a best option light weight easy to carry I'm Happy From This.,Thane,2 months ago,240,67,positive
realme Buds Q Bluetooth Headset,3,Just okay,Good and well but still some batter time improved it will be good and I have a small fear that these buds or not fitting properly some times and may fall down that is a draw back.,Tadpatri,3 months ago,267,97,positive
realme Buds Q Bluetooth Headset,4,Good choice,"Genuine review (after 1 week of use), I was quiet confused whether to buy these earbuds or oppo enco w11 or boat airdopes 441. Atlast I bought realme buds q in 1565/-Pros - Sound very goodBass very goodInstant connectivity to Bluetooth.Battery backup goodLight weightPremium lookLink appWater and sweat proofGaming modeCons -Not having a good responsive touch. It makes delay responses.Call quality average, not bad but not that good in outdoors.Not having that good connectivity r...",Bilaspur,1 month ago,46,5,negative
realme Buds Q Bluetooth Headset,1,Not recommended at all,"As they rightly say about Chinese Products: Chala Toh Chand Tak; Nahi Toh Raat Tak.Review after a month of using this product:Sound Quality Is good, above average I would call it.Easy to pair and connect.Like the fit, fits perfect in your ears.Issues: 1. If you are watching a video, after a while, you would notice that the video is not in sync with the sound. Theres a constant disconnect which cause the video to relay first and then u hear the audio.2. The right earbud has stopped wo...",Mumbai,1 month ago,42,49,positive
realme Buds Q Bluetooth Headset,5,Fabulous!,Awesome product in such a low price...didn't expected..I never loved any earphone than samsung in ear headphones even akg headphones couldn't beat that and this realme bud is exactly like samsung in ear...loved it must buy,Berhampore,2 months ago,28,7,positive
realme Buds Q Bluetooth Headset,4,Good quality product,"First of all, size of the product is very small and handy, it can easily fit in your pocket. Battery backup is good as of now.Call quality is average, not expecting more...Sound quality is good for bass lovers, but not crispy. I'm using sony Headset (wired) while compared it's average.Usb type c is missing but not a issue.Interfaces - touch controls are average. Overall your budget is 1500 to 2000 consider to buy.",Thirunageswaram,2 months ago,13,2,positive
realme Buds Q Bluetooth Headset,3,Just okay,"I am writing this review after using this product for more than 4 months now. ~Sound quality ( bass ) is good but not great. If you are a bass lover buy local earphones, they provide more bass than this product. Overall, sound quality is good.~Voice calls via Bluetooth is not at all impressive. If you are at a quiet place you can expect these to work just fine but if you are at public place don't even try to talk via these ear buds.~ Design is great. I love the design, fits well in ears an...",New Delhi,15 days ago,11,2,positive
realme Buds Q Bluetooth Headset,5,Classy product,Bass is not that much good . But the quality of vocals and loudness is absolutely fabulous .Although i face some connectivity problems with the left bud sometimes but overall a good purchase .pretty much much happy with my decision,New Delhi,1 month ago,8,3,positive
realme Buds Q Bluetooth Headset,5,Classy product,"LOVE IT 👌🏻Awesome Sound Quality with Superb Bass and noise cancellation, So light weight and perfect fit in ear. Love these Buds specially if you compare this with any other brand in this price thanks to realme For this great deal.",Sonipat,5 months ago,17,13,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,"Good product. Never used bluetooth headset before. Now I am happy to see ease in my work. As I noticed boat marketing their products aggressively in market in recent days. About product it's like awesome having better build quality, bass is good, battery backup is fine and vibration though it vibrates my neck when ever I gets call but still feature is must needed when u are driving. Wanted to give 5star but there is a sentence that "" Nothing is perfect in this imperfect world"" 😄😄😉",Bengaluru,7 months ago,22,2,negative
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,"This review is after 1 month of use .Pro:- 1.Battery backup is genuinely too good, runs almost 1.5 -2 days on a single charge.. and 8hrs on continuous playback.2. Charge very fast,,, 40% just in 15-20 minutes3. Sound is crisp,clear and decent, not too loud.  4. Build quality is awsome nd stylish as well.5.connectivity is super fast nd good with phones.6. Last but not the least,,, its really comfort able nd i didn't feel any discomfort or pain even after continous use of 5 hrs which i ...",New Delhi,8 months ago,20,4,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,I like It Boat HP Sound Quality is bestm best And Bass Quality is to good And New V2 product is to good & Fast charging is besttt to save charging  timeing....,Amravati,8 months ago,39,5,negative
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,3,Does the job,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons Pros-✓Sounds Quality is good✓ Bass is good enough✓ Look is okay as per this price range ✓ All essential controls are provided✓ Backup is decentConsxx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver...",Mirzapur District,8 months ago,26,1,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,Great product.. I loved it.. As I was using level U.. This product is much more better than that.. Though battery life is just like 8hrs and bass like goosebumps... But when increased bass earplugs starts raddling.. Vibrate feature is awesome..,Bengaluru,8 months ago,28,15,negative
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,"Awesome product happy to have one.Good sound quality in medium volume, with equalizer app could complete the high bass sound. Battery last long 20 min of charge to enjoy whole day.Very light weight, Easy to carry,",Bhopal,8 months ago,24,1,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Good quality product,It's a very good product... I'm so happy with this Bcz it's bass quality & sounds is too good & battery backup also superb,Paschim Bardhaman District,1 month ago,27,4,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific,"Amazing product   Sound quality was awesome, it has deep bass which I really wanted, I am really satisfied and battery backup was also nice and it also had fast charging facilities",,7 months ago,34,3,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Really Nice,I think it is the best product in this price segment I buy this product after seeing it's sell figure and my decision got right u must buy this product I love it's sound quality but the build quality must be improved and they must give charging adaptor out of the box,Gorakhpur,8 months ago,22,0,positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Must buy!,Best product at this price loved it. Thank you flipkart for safe delivery 💯😃,Ahmadnagar,8 months ago,24,5,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Fabulous!,Good product very nice,Mettupalayam Coimbatore District,6 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Classy product,It's good product with affordable rate,Kolkata,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Best in the market!,Exlent,Guntur District,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Awesome,good product,Mumbai,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Mind-blowing purchase,Good product nice quality,Jalgaon District,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Wonderful,Awesome product good sound,Guntur District,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Super!,Good product in this range.,Kota,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Mind-blowing purchase,It's a super product overallIt's build quality and sound quality is very satisfactoryAns it's a such a sweet productI am loving it,New Delhi,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Classy product,"Built quality is good. Sound quality and bass quality is awesome. Battery backup and bluetooth connectivity is nice. Light in weight and very comfortable to wear for a long time. Overall, a great bluetooth neckband earphones at this price.",New Delhi,7 months ago,1,0,positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,1,Terrible product,Third class product,Agartala,1 month ago,2,2,positive
BoAt Airdopes 131 Bluetooth Headset,5,Brilliant,Ye price me best product h...,Mumbai,6 months ago,13,2,positive
BoAt Airdopes 131 Bluetooth Headset,5,Classy product,Super Must buy,,1 month ago,6,0,positive
BoAt Airdopes 131 Bluetooth Headset,3,Good,"Can't be used for longer duration it hurts your ear, will hurts more while tapping Multi functional buttons. And I think its common in this kind of design. Other things are good enough in this price. You may consider it, if you are not a hard core user.",Chandigarh,6 months ago,6,0,positive
BoAt Airdopes 131 Bluetooth Headset,5,Highly recommended,The value for money product from Boat. The sound quality is pretty good and so is the design.,Bengaluru,6 months ago,9,1,positive
BoAt Airdopes 131 Bluetooth Headset,4,Very Good,Give a like Boat lover's,Ysr District,2 months ago,13,3,positive
BoAt Airdopes 131 Bluetooth Headset,4,Pretty good,"I painted them in matte BlackEverything is good, except for charging speed. Perfect for this price range...Mid Charging speeds tales forever. When connected it showed me 70% charge in the earbuds but it didn't even last for a single call for around 20mins",Chennai,6 months ago,13,3,positive
BoAt Airdopes 131 Bluetooth Headset,5,Great product,"Best in Budget, amazing build quality, Sound is over all good, bass and noise cancellation is bit low but for this price really amazing",Bhagalpur,6 months ago,4,0,positive
BoAt Airdopes 131 Bluetooth Headset,5,Excellent,Awesome products at this price..must buy.,Ranchi,6 months ago,8,1,positive
BoAt Airdopes 131 Bluetooth Headset,5,Simply awesome,Awesome product,Kolkata,6 months ago,9,2,positive
BoAt Airdopes 131 Bluetooth Headset,1,Terrible product,"After one month use, Bad bluetooth connection, and specially mice is very worst, i mean I have to speak very loud during call otherwise second person will not be able to hear. If any one want to listen music he can go with it but one who is looking it for call must go with other options",Gurugram,2 months ago,17,6,positive
BoAt BassHeads 100 Wired Headset,4,Pretty good,Clarity os good but the bass is low and the treble is high. Wired is comparatively good as per it is not the braided cable.,Hugli Chinsurah,8 months ago,55,4,positive
BoAt BassHeads 100 Wired Headset,5,Simply awesome,"One of the best under 500 if you can get ,started loving from the first day.Clarity of microphone is awesome.Bass is really good with equalisation of treble .Build quality is beyond level.Thanks Flipkart ❤",Pune,"May, 2018",53,23,positive
BoAt BassHeads 100 Wired Headset,1,Very poor,"look wise good but after 15 days it is available for just looks  only ,, very bad in 15 days one side is not working properly",Kashipur,"Jan, 2020",55,18,positive
BoAt BassHeads 100 Wired Headset,1,Very poor,I purchased one month back. now when insert into mobile phones the volume automatically reduced to zero  without headset the volume function works normally. same connect to other phone also volume reduced. when we hear through other headset the volume function works effectively,Kanchipuram,"Jul, 2019",22,16,positive
BoAt BassHeads 100 Wired Headset,5,Terrific,"I just loved it .....nalla niz product.pwoli sadhanam at a relatively affordable price, niz one it's good and worth for money",Vilavur,"Sep, 2019",14,0,positive
BoAt BassHeads 100 Wired Headset,3,Fair,i purchased this headphones about 1 yr ago 1st six month they run perfectly & nicely but after 6 month 1 side  stops working sound comes only when i adjust the wire here & there but they gave you 1 yr warranty time so i got replacement of this produ but again after 6 month one side stops working & only runs if you adjust the wire basically this headphones has 1 yr life (by my experience)confused but still want to buy this coz in moderate price (375) it runs 1 yr this is my Honest re...,Aurangabad,8 months ago,11,0,positive
BoAt BassHeads 100 Wired Headset,5,Simply awesome,sound quality is very clear and the bass is also very good 👌😊 worth the money... I'm fully satisfied with the product 😉😊😁,Habra,"Jul, 2019",11,0,positive
BoAt BassHeads 100 Wired Headset,5,Excellent,Such a nice product  😊 and the sound quality  is good and bass is nice.And the  design is so beautiful 😎,Palakkad District,8 months ago,16,1,positive
BoAt BassHeads 100 Wired Headset,5,Best in the market!,"Cute color, wonderful sound and fits good to ear. I am using these for a week now and I'm really liking it.",Mohali,"Oct, 2019",9,0,positive
BoAt BassHeads 100 Wired Headset,4,Nice product,For whom i bought it she got surprised & also satisfied with this product & ofcourse i had a great faith on Boat headphones. I'm using since 2017.♥️♥️,Kolar,"Mar, 2020",8,0,positive
